attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
tile_id		character				
annectocyma_ann		categorical				
beania_2_spiny_beans		categorical				
bitectiporidae_pleurocodonellina_ple		categorical				
bryopensanser_bryop		categorical				
bugulidae_bugula_bug		categorical				
calloporidae_parellisina_paral		categorical				
celleporiaria_cel		categorical				
chorizopora_chor		categorical				
crepidacanthidae_cripidacantha_cre		categorical				
cribrilinidae_puellina_pue		categorical				
hippothoidae_hippothoa_hip		categorical				
lichenoporidae_disporella_dis		categorical				
phidoloporidae_rhynchozoon_rhy		categorical				
poricella_por		categorical				
smittinidae_parasmittina_paras		categorical				
thalamoporellidae_thalamoporella_tha		categorical				
tubuliporidae_tubulipora_tub		categorical				
turbicellepora_turbi		categorical				
margaretta_mar		categorical				
stylopoma_sty		categorical				
algae_a		categorical				
turf		categorical				
ccad		categorical				
ccadd		categorical				
ccadg		categorical				
cca		character				
cyan		categorical				
dic		categorical				
gab		categorical				
gea		categorical				
lob		categorical				
mac		categorical				
pey		character				
thin_layer_of_algae		categorical				
fringy_algae_unknown		categorical				
amph		categorical				
brye		categorical				
for		categorical				
hydc		categorical				
hydrd		categorical				
invt		categorical				
spo		categorical				
tubw		categorical				
tun		categorical				
verm		categorical				
bare		character				
sed		categorical				
unknown		categorical				
tape		character				
cor		categorical				
dead		categorical				
grazed		categorical				
all_bryo		categorical				
