attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
recruit_id		numeric	!Add units here!			
top_bottom		categorical				
tile_id		character				
site		categorical				
taxo_id		categorical				
diameter_caliper		numeric	!Add units here!			
diameter_milimeter_paper		numeric	!Add units here!			
area_tile_picture_mm2		numeric	!Add units here!			
estimated_height_mm		numeric	!Add units here!			
estimated_volume		numeric	!Add units here!			
area_milimeter_paper		numeric	!Add units here!			
nr_of_polyps		categorical				
colonized_on_top_of		categorical				
colonized_on_top_of2		categorical				
colonized_on_top_of3		categorical				
overgrown_by		categorical				
overgrowth_level		categorical				
overgrown_by_2		categorical				
overgrowth_level_2		categorical				
dead		character				
distance_to_closest_coral_neighbour_caliper		numeric	!Add units here!			
distance_to_neighbour_tile		numeric	!Add units here!			
pictures		character				
highest_row_of_polyps		categorical				
age		categorical				
first_circle		character				
x27		character				
